osm_id,osm_type,name,category,city,address,postcode,website,lat,lon
288827260,node,Laissey Vous Tenter,restaurant,Besançon,"60 Grande Rue, 25820, Laissey",25820,,47.2983979,6.2336845
344937113,node,Mémorial 1914-1918,memorial,Besançon,,,,47.4318564,6.4547414
354372911,node,,memorial,Besançon,,,,47.2453583,6.0214631
365161877,node,,viewpoint,Besançon,,,,47.2199046,6.0510363
365308952,node,,viewpoint,Besançon,,,,47.2246601,6.0461854
368247101,node,Musée du Temps,museum,Besançon,,,http://www.mdt.besancon.fr,47.2358446,6.0269139
369310121,node,,artwork,Besançon,,,,47.239705,6.0205034
369311271,node,Victor Hugo,artwork,Besançon,,,,47.2362017,6.0221599
369312543,node,Le Minotaure,artwork,Besançon,,,,47.2420603,6.0246491
369947112,node,La Vierge du Choléra,viewpoint,Besançon,,,,47.353894,6.3647285
370020570,node,Belvédère Croix de Châtard,viewpoint,Besançon,,,,47.3392816,6.3671286
372649541,node,Lonot,viewpoint,Besançon,,,,47.3482699,6.3824768
373486298,node,Le Tuyé de Mésandans,restaurant,Besançon,"Zone Artisanale en Chandin, 25680, Mésandans",25680,https://www.letuye.fr,47.4310842,6.3742364
383698087,node,Jouffroy d'Abbans,monument,Besançon,,,,47.3441626,6.3596332
385560740,node,,memorial,Besançon,,,,47.1986577,5.9621311
385911825,node,Grotte d’Osselle,attraction,Besançon,,,https://grotte-osselle.fr,47.1384345,5.8363609
386016135,node,Horloge astronomique,artwork,Besançon,,,,47.2336365,6.0307815
388789756,node,Jardin des simples,garden,Besançon,,,,47.2387425,6.1837935
420867212,node,Source du Lison,attraction,Besançon,,,,46.9651261,6.0115853
460345453,node,Etap Hotel Besançon nord,hotel,Besançon,"1 Rue de la Poste, 25048, Besançon",25048,https://www.etaphotel.com/,47.2781457,5.9943168
476280112,node,Musée de la Taillanderie,museum,Besançon,"Creux de la Doye, 25330, Nans-sous-Sainte-Anne",25330,,46.9706685,5.996222
478967172,node,Fente de Babre,viewpoint,Besançon,,,,47.3453465,6.3793361
493508943,node,Point de vue du Moine,viewpoint,Besançon,,,,47.0297158,6.2699238
494253654,node,Belvedère de Gouille Noire,viewpoint,Besançon,,,,47.0686726,6.0177792
525261854,node,Belvédère de Montfaucon,viewpoint,Besançon,,,,47.2413718,6.0824416
529035926,node,,monument,Besançon,,,,47.2070984,6.0066016
529050230,node,,viewpoint,Besançon,,,,47.2060799,6.009804
529050255,node,,viewpoint,Besançon,,,,47.2075184,6.0096651
534448739,node,Effet Boeuf,restaurant,Besançon,"3 Rue Mairet, 25000, Besançon",25000,https://www.lesmeilleursrestos.fr/restaurant-besancon/142-l-effet-boeuf-besancon.html,47.2342913,6.0264417
544131843,node,,monument,Besançon,,,,47.3482987,6.3889285
619172433,node,Hôtel du Nord,hotel,Besançon,,,https://www.hotel-du-nord-besancon.com,47.2373004,6.0259501
619172952,node,Hôtel Regina,hotel,Besançon,,,,47.2372029,6.0263858
624057160,node,Fontaine Wallace,artwork,Besançon,,,,47.2354249,6.0264202
676752295,node,Le Saint-Cerf,restaurant,Besançon,"1 Rue Mégevand, 25000, Besançon",25000,,47.2364259,6.0229277
677325668,node,,memorial,Besançon,,,,47.2365652,6.0287474
688482034,node,Bélvèdere La Chaussée,viewpoint,Besançon,,,,46.9728749,5.9765326
738605208,node,Les Oiseaux,restaurant,Besançon,,,,47.2550385,6.0345691
740599857,node,Le Sycomorre,restaurant,Besançon,,,,47.2263955,6.0648516
769222959,node,Au Messimo,restaurant,Besançon,"16 Place d'Armes, 25440, Quingey",25440,https://www.pizzeria-messimo.fr/,47.1032312,5.8837409
769222960,node,Café de l'hôtel de ville,restaurant,Besançon,,,,47.103079,5.883031
769222965,node,Hôtel de la truite de la Noue,hotel,Besançon,,,,47.1022019,5.8852712
778678272,node,Restaurant du Casino,restaurant,Besançon,,,,47.2428657,6.0311156
798996833,node,Belvédère de la Roche du Gratteris,viewpoint,Besançon,,,,47.1754816,6.141258
799168912,node,Le Tilleul,restaurant,Besançon,,,,47.0644958,6.2161037
843139798,node,Le Saut du Chevalier,viewpoint,Besançon,,,,47.1281408,6.1792276
846981569,node,Hôtel-Restaurant La Cascade,hotel,Besançon,,,,47.0388029,6.2743382
869306812,node,LauMas,restaurant,Besançon,35 Rue Charles Nodier,,https://restaurant-laumas.com,47.2315081,6.0263856
890710872,node,,memorial,Besançon,,,,47.381554,6.3498568
894618147,node,Miroir d'eau de Rennes-sur-Loue,viewpoint,Besançon,,,,47.0148835,5.8529279
910728578,node,,viewpoint,Besançon,,,,47.3217911,6.4349975
928803052,node,,memorial,Besançon,,,,47.0245621,6.2027082
928803119,node,,memorial,Besançon,,,,47.0245032,6.2024929
972740907,node,Château ruiné,ruins,Besançon,,,,47.1435945,6.0545614
972741877,node,,viewpoint,Besançon,,,,47.1480632,5.9573685
1025021267,node,Monument au morts,memorial,Besançon,,,,47.1847618,5.7912437
1025021319,node,Monument aux morts,memorial,Besançon,,,,47.1811231,5.8101313
1091723852,node,Chez l'Titi,restaurant,Besançon,,,,47.247831,6.236714
1117909208,node,Auberge du Moine,restaurant,Besançon,,,http://aubergedumoine.fr,47.0264043,6.2668105
1167024714,node,,viewpoint,Besançon,,,,47.2274041,6.0215947
1167025001,node,,viewpoint,Besançon,,,,47.2278139,6.0245579
1172812763,node,,monument,Besançon,,,,47.3502559,6.3593062
1176127733,node,,restaurant,Besançon,,,,47.3272974,6.0079368
1176127738,node,Maccenzo,restaurant,Besançon,"8 Rue du Village, 25870, Devecey",25870,,47.3249198,6.0148747
1178860889,node,,memorial,Besançon,,,,47.3304675,6.4581449
1182517994,node,,viewpoint,Besançon,,,,47.3156289,6.3879383
1182518113,node,,viewpoint,Besançon,,,,47.2827664,6.35668
1187228672,node,,viewpoint,Besançon,,,,47.3076353,6.2260322
1193315043,node,Monument de la Libération de Besançon,memorial,Besançon,,,,47.2195739,6.0513988
1193315051,node,Les sentinelles de la mémoire,artwork,Besançon,,,,47.2438151,6.0165254
1195248445,node,,memorial,Besançon,,,,47.3380172,6.3724391
1301772300,node,Creux Billard,viewpoint,Besançon,,,,46.9641396,6.0126239
1329729781,node,,restaurant,Besançon,,,,47.2401319,6.0186435
1329729784,node,Fleur de Sel,restaurant,Besançon,,,,47.2397445,6.0182488
1329729787,node,Perles d'Asie,restaurant,Besançon,,,,47.2398316,6.0181933
1383046583,node,Au bon coin,restaurant,Besançon,"3 Grande Rue, 25170, Noironte",25170,,47.2720653,5.8759079
1404305768,node,Brasserie de l'Île de France,restaurant,Besançon,"18 Avenue de l'Île-de-France, 25000",25000,,47.2211221,5.9659839
1411219988,node,Belvédère du fort de la Dame Blanche,viewpoint,Besançon,,,,47.318803,6.0597243
1416344343,node,Vallée du Cusancin,viewpoint,Besançon,,,,47.3153227,6.3674596
1417452141,node,Belvédère de Chassignole,viewpoint,Besançon,,,,47.3290524,6.3218569
1417452200,node,Belvédère Grange Vuillotey,viewpoint,Besançon,,,,47.3311381,6.3448093
1419563288,node,Le Poker d'As,restaurant,Besançon,"14 Rue du Clos Saint-Amour, 25000, Besançon",25000,https://www.lesmeilleursrestos.fr/restaurant-besancon/56-restaurant-le-poker-d-as-besancon.html,47.2394721,6.0280104
1419597382,node,L’Insolite,restaurant,Besançon,"58 Rue des Granges, 25000, Besançon",25000,https://www.lesmeilleursrestos.fr/restaurant-besancon/885-l-insolite-besancon.html,47.237454,6.0267148
1419626701,node,Au Vieux Comtois,restaurant,Besançon,"13 Grande Rue, 25000, Besançon",25000,https://www.lesmeilleursrestos.fr/restaurant-besancon/112-au-vieux-comtois-besancon.html,47.2364397,6.0264625
1427498403,node,Ibis Besancon Marchaux,hotel,Besançon,"Aire de Besancon Marchaux, 25640, Marchaux",25640,https://all.accor.com/hotel/1147/index.fr.shtml?dateIn=2022-08-17&nights=1&compositions=2&stayplus=false&snu=false#origin=accor,47.3272251,6.126254
1429399346,node,Piz'Bar La Plage,restaurant,Besançon,,,,47.2309149,6.0267917
1533036754,node,,memorial,Besançon,,,,47.2886445,6.2463662
1583753741,node,,memorial,Besançon,,,,47.4052843,6.2717846
1620864725,node,Belvédère des feuilles,viewpoint,Besançon,,,,46.9924197,6.010433
1620903124,node,La Main et l'Esprit,artwork,Besançon,,,,47.2638602,6.0448178
1624054426,node,,memorial,Besançon,,,,47.3447211,6.365914
1625418662,node,Le Charleston,restaurant,Besançon,"10 Rue des Armuriers, 25110, Baume-les-Dames",25110,,47.3518276,6.3610404
1628667089,node,La Truite de la Loue,restaurant,Besançon,,,,47.1022316,5.8852094
1650664169,node,Restaurant du Val,restaurant,Besançon,,,,47.0583565,5.9007759
1665959688,node,Chez Gladoux,restaurant,Besançon,"3 Rue de l'École, 25660, Fontain",25660,,47.1994075,6.0257425
1669990441,node,Fort de Rosemont,ruins,Besançon,,,,47.2219227,6.0002168
1670078519,node,Bistro d'Olivier,restaurant,Besançon,,,,47.1784242,5.9094473
1691804985,node,,viewpoint,Besançon,,,,47.2933978,6.2358815
1693752771,node,Le Sauvage,hotel,Besançon,25000,25000,https://www.lesauvage-besancon.fr,47.2318596,6.0277305
1693752784,node,Best Western Citadelle,hotel,Besançon,"13 Rue du Général Lecourbe, 25000, Besançon",25000,https://www.bestwesterncitadelle.com/,47.23161,6.0269134
1693767895,node,Hôtel de Paris,hotel,Besançon,"33 Rue des Granges, 25000, Besançon",25000,https://www.besanconhoteldeparis.com/,47.2385754,6.0253833
1694302944,node,,memorial,Besançon,,,,47.3236214,6.3628037
1696211868,node,Vierge,artwork,Besançon,,,,47.2561119,6.003899
1737628177,node,,memorial,Besançon,,,,47.2330644,5.7423372
1737629930,node,,memorial,Besançon,,,,47.2432559,5.7326296
1750868204,node,L'atami,restaurant,Besançon,,,,47.2520196,6.0354222
1757393312,node,ibis La City,hotel,Besançon,1 Avenue Louise Michel,,https://all.accor.com/hotel/3297/index.fr.shtml,47.2353733,6.014952
1771174023,node,,memorial,Besançon,,,,47.2263765,6.0656399
